Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls_90,Ast_90,G+A_90,G-PK_90,G+A-PK_90,xG_90,xAG_90,xG+xAG_90,npxG_90,npxG+xAG_90
Chancel Mbemba,cd COD,DF,Marseille,fr Ligue 1,28.0,1994.0,25,25,2207,24.5,2,2,4,2,0,0,1,0,1.8,1.8,1.0,2.8,16.0,131.0,10.0,0.08,0.08,0.16,0.08,0.16,0.07,0.04,0.12,0.07,0.12
Christ Mbondi,fr FRA,FW,Reims,fr Ligue 1,18.0,2004.0,1,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jordi Mboula,es ESP,"FW,MF",Hellas Verona,it Serie A,24.0,1999.0,11,5,307,3.4,0,1,1,0,0,0,0,0,0.2,0.2,0.4,0.6,10.0,4.0,22.0,0.0,0.29,0.29,0.0,0.29,0.06,0.11,0.17,0.06,0.17
James Mcatee,eng ENG,"MF,FW",Sheffield Utd,eng Premier League,20.0,2002.0,30,20,1822,20.2,3,3,6,2,1,1,2,0,3.1,2.3,2.9,5.2,55.0,51.0,110.0,0.15,0.15,0.3,0.1,0.25,0.15,0.15,0.3,0.11,0.26
James Mcatee,eng ENG,MF,Manchester City,eng Premier League,20.0,2002.0,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
James McConnell,eng ENG,MF,Liverpool,eng Premier League,18.0,2004.0,3,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
John McGinn,sct SCO,"MF,FW",Aston Villa,eng Premier League,28.0,1994.0,35,35,2999,33.3,6,4,10,6,0,0,9,1,5.0,5.0,4.6,9.6,59.0,189.0,84.0,0.18,0.12,0.3,0.18,0.3,0.15,0.14,0.29,0.15,0.29
Scott McKenna,sct SCO,DF,Nott'ham Forest,eng Premier League,26.0,1996.0,5,5,416,4.6,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.4,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.04,0.08,0.05,0.08
Weston McKennie,us USA,"MF,DF",Juventus,it Serie A,24.0,1998.0,34,29,2594,28.8,0,7,7,0,0,0,6,0,3.0,3.0,3.9,6.9,64.0,92.0,176.0,0.0,0.24,0.24,0.0,0.24,0.1,0.13,0.24,0.1,0.24
Scott McTominay,sct SCO,"MF,FW",Manchester Utd,eng Premier League,26.0,1996.0,32,18,1901,21.1,7,1,8,7,0,0,2,0,5.7,5.7,0.8,6.6,29.0,64.0,47.0,0.33,0.05,0.38,0.33,0.38,0.27,0.04,0.31,0.27,0.31
Ben Mee,eng ENG,DF,Brentford,eng Premier League,33.0,1989.0,16,15,1272,14.1,2,0,2,2,0,0,1,1,1.5,1.5,0.3,1.8,11.0,49.0,9.0,0.14,0.0,0.14,0.14,0.14,0.1,0.02,0.13,0.1,0.13
Marvin Mehlem,de GER,MF,Darmstadt 98,de Bundesliga,25.0,1997.0,20,19,1482,16.5,3,2,5,3,0,0,3,0,3.8,3.8,1.1,4.9,27.0,46.0,73.0,0.18,0.12,0.3,0.18,0.3,0.23,0.07,0.3,0.23,0.3
Bamo Meïté,ci CIV,DF,Marseille,fr Ligue 1,21.0,2001.0,16,6,638,7.1,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,11.0,29.0,5.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01
Bamo Meïté,ci CIV,DF,Lorient,fr Ligue 1,21.0,2001.0,2,2,146,1.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hannibal Mejbri,tn TUN,"MF,FW",Manchester Utd,eng Premier League,20.0,2003.0,5,1,133,1.5,1,0,1,1,0,0,1,0,0.0,0.0,0.4,0.4,2.0,6.0,10.0,0.68,0.0,0.68,0.68,0.68,0.02,0.25,0.27,0.02,0.27
Hannibal Mejbri,tn TUN,MF,Sevilla,es La Liga,20.0,2003.0,6,1,104,1.2,0,0,0,0,0,0,2,0,0.0,0.0,0.5,0.5,1.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.01,0.39,0.4,0.01,0.4
Óscar Melendo,es ESP,"MF,FW",Granada,es La Liga,25.0,1997.0,26,15,1122,12.5,0,0,0,0,0,0,2,0,0.4,0.4,0.5,0.9,21.0,38.0,33.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.07,0.04,0.07
Gonzalo Melero,es ESP,"MF,FW",Almería,es La Liga,29.0,1994.0,28,10,1103,12.3,1,1,2,1,0,0,3,0,2.0,2.0,1.2,3.2,23.0,49.0,33.0,0.08,0.08,0.16,0.08,0.16,0.16,0.1,0.26,0.16,0.26
Arthur Melo,br BRA,MF,Fiorentina,it Serie A,26.0,1996.0,33,23,1986,22.1,2,3,5,1,1,1,2,0,1.0,0.3,1.7,2.0,21.0,133.0,27.0,0.09,0.14,0.23,0.05,0.18,0.05,0.08,0.13,0.01,0.09
Memphis,nl NED,FW,Atlético Madrid,es La Liga,29.0,1994.0,23,9,893,9.9,5,1,6,5,0,0,2,0,5.8,5.8,1.8,7.6,16.0,27.0,82.0,0.5,0.1,0.6,0.5,0.6,0.58,0.18,0.76,0.58,0.76
Houboulang Mendes,gw GNB,DF,Almería,es La Liga,25.0,1998.0,7,4,396,4.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5.0,9.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01
Nuno Mendes,pt POR,DF,Paris S-G,fr Ligue 1,21.0,2002.0,6,2,267,3.0,1,1,2,1,0,0,3,0,0.3,0.3,0.4,0.7,12.0,21.0,25.0,0.34,0.34,0.67,0.34,0.67,0.11,0.14,0.25,0.11,0.25
Tomás Mendes,es ESP,MF,Alavés,es La Liga,18.0,2004.0,1,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brais Méndez,es ESP,"MF,FW",Real Sociedad,es La Liga,26.0,1997.0,32,27,2413,26.8,5,6,11,5,0,0,7,0,4.2,4.2,4.2,8.4,45.0,128.0,121.0,0.19,0.22,0.41,0.19,0.41,0.16,0.16,0.31,0.16,0.31
Bruno Méndez,uy URU,DF,Granada,es La Liga,23.0,1999.0,17,15,1333,14.8,2,0,2,2,0,0,4,0,0.6,0.6,0.1,0.7,8.0,47.0,14.0,0.14,0.0,0.14,0.14,0.14,0.04,0.01,0.05,0.04,0.05
Diego Méndez,es ESP,MF,Rayo Vallecano,es La Liga,19.0,2003.0,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Leonardo Mendicino,it ITA,MF,Atalanta,it Serie A,17.0,2006.0,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antoine Mendy,fr FRA,DF,Nice,fr Ligue 1,19.0,2004.0,10,4,418,4.6,0,0,0,0,0,0,0,0,0.1,0.1,0.4,0.5,3.0,12.0,6.0,0.0,0.0,0.0,0.0,0.0,0.02,0.08,0.1,0.02,0.1
Benjamin Mendy,fr FRA,DF,Lorient,fr Ligue 1,29.0,1994.0,15,7,711,7.9,2,1,3,2,0,0,3,0,1.1,1.1,1.9,3.0,26.0,34.0,85.0,0.25,0.13,0.38,0.25,0.38,0.14,0.24,0.38,0.14,0.38
Ferland Mendy,fr FRA,DF,Real Madrid,es La Liga,28.0,1995.0,23,21,1720,19.1,0,0,0,0,0,0,5,0,0.2,0.2,0.9,1.1,19.0,84.0,96.0,0.0,0.0,0.0,0.0,0.0,0.01,0.05,0.06,0.01,0.06
Formose Mendy,sn SEN,DF,Lorient,fr Ligue 1,22.0,2001.0,18,13,1256,14.0,0,0,0,0,0,0,6,0,0.3,0.3,0.1,0.4,14.0,61.0,13.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.03,0.02,0.03
Nampalys Mendy,sn SEN,MF,Lens,fr Ligue 1,31.0,1992.0,16,13,1052,11.7,0,1,1,0,0,0,2,0,0.2,0.2,1.1,1.3,21.0,84.0,13.0,0.0,0.09,0.09,0.0,0.09,0.02,0.09,0.11,0.02,0.11
Teden Mengi,eng ENG,DF,Luton Town,eng Premier League,21.0,2002.0,30,28,2469,27.4,1,0,1,1,0,0,3,0,0.6,0.6,0.3,0.9,15.0,54.0,1.0,0.04,0.0,0.04,0.04,0.04,0.02,0.01,0.03,0.02,0.03
Chris Mepham,wls WAL,DF,Bournemouth,eng Premier League,25.0,1997.0,10,6,617,6.9,0,1,1,0,0,0,2,0,0.1,0.1,0.4,0.5,4.0,25.0,1.0,0.0,0.15,0.15,0.0,0.15,0.01,0.06,0.07,0.01,0.07
Jorge Meré,es ESP,DF,Cádiz,es La Liga,26.0,1997.0,10,8,673,7.5,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,2.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02
Alex Meret,it ITA,GK,Napoli,it Serie A,26.0,1997.0,31,31,2773,30.8,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mikel Merino,es ESP,MF,Real Sociedad,es La Liga,27.0,1996.0,32,27,2482,27.6,5,3,8,5,0,0,10,0,3.3,3.3,1.9,5.2,26.0,163.0,99.0,0.18,0.11,0.29,0.18,0.29,0.12,0.07,0.19,0.12,0.19
Quentin Merlin,fr FRA,DF,Marseille,fr Ligue 1,21.0,2002.0,10,8,703,7.8,0,1,1,0,0,0,1,0,0.1,0.1,1.1,1.3,15.0,46.0,56.0,0.0,0.13,0.13,0.0,0.13,0.02,0.15,0.16,0.02,0.16
Quentin Merlin,fr FRA,DF,Nantes,fr Ligue 1,21.0,2002.0,16,15,1283,14.3,0,1,1,0,0,0,0,0,0.7,0.7,1.3,2.0,34.0,98.0,62.0,0.0,0.07,0.07,0.0,0.07,0.05,0.09,0.14,0.05,0.14
Junior Messias,br BRA,"MF,DF",Genoa,it Serie A,32.0,1991.0,18,13,1053,11.7,1,0,1,1,0,0,0,0,1.6,1.6,1.3,2.9,35.0,29.0,75.0,0.09,0.0,0.09,0.09,0.09,0.14,0.11,0.25,0.14,0.25
Thomas Meunier,be BEL,DF,Dortmund,de Bundesliga,31.0,1991.0,8,7,586,6.5,0,0,0,0,0,0,0,0,0.5,0.5,0.6,1.2,21.0,33.0,25.0,0.0,0.0,0.0,0.0,0.0,0.08,0.1,0.18,0.08,0.18
Bastien Meupiyou,fr FRA,DF,Nantes,fr Ligue 1,17.0,2006.0,1,1,8,0.1,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alexander Meyer,de GER,GK,Dortmund,de Bundesliga,32.0,1991.0,8,7,695,7.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Omenuke Mfulu,cd COD,"MF,FW",Las Palmas,es La Liga,29.0,1994.0,5,1,82,0.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lucas Michal,fr FRA,FW,Monaco,fr Ligue 1,18.0,2005.0,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sven Michel,de GER,"FW,MF",Augsburg,de Bundesliga,33.0,1990.0,22,5,583,6.5,2,1,3,1,1,2,2,0,2.4,0.8,0.8,1.7,6.0,14.0,44.0,0.31,0.15,0.46,0.15,0.31,0.37,0.13,0.5,0.13,0.26
Miguel,es ESP,"FW,MF",Alavés,es La Liga,23.0,1999.0,3,1,65,0.7,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.13,0.13,0.13
Nikola Milenković,rs SRB,DF,Fiorentina,it Serie A,25.0,1997.0,34,27,2510,27.9,0,0,0,0,0,0,4,0,0.4,0.4,0.7,1.1,8.0,81.0,10.0,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.04,0.01,0.04
Lewis Miley,eng ENG,MF,Newcastle Utd,eng Premier League,17.0,2006.0,17,14,1202,13.4,1,3,4,1,0,0,1,0,1.2,1.2,1.7,2.9,14.0,53.0,54.0,0.07,0.22,0.3,0.07,0.3,0.09,0.13,0.22,0.09,0.22
Arkadiusz Milik,pl POL,FW,Juventus,it Serie A,29.0,1994.0,32,7,919,10.2,4,1,5,4,0,0,2,1,5.1,5.1,2.6,7.7,12.0,22.0,49.0,0.39,0.1,0.49,0.39,0.49,0.5,0.26,0.75,0.5,0.75
Vanja Milinković-Savić,rs SRB,GK,Torino,it Serie A,26.0,1997.0,36,36,3240,36.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Éder Militão,br BRA,DF,Real Madrid,es La Liga,25.0,1998.0,10,6,496,5.5,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,7.0,15.0,2.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02
Luis Milla,es ESP,MF,Getafe,es La Liga,28.0,1994.0,27,25,2115,23.5,0,1,1,0,0,0,6,0,0.6,0.6,1.7,2.3,31.0,121.0,35.0,0.0,0.04,0.04,0.0,0.04,0.03,0.07,0.1,0.03,0.1
Enzo Millot,fr FRA,"MF,FW",Stuttgart,de Bundesliga,21.0,2002.0,31,27,2241,24.9,5,4,9,4,1,1,5,0,5.3,4.5,3.9,8.4,46.0,127.0,167.0,0.2,0.16,0.36,0.16,0.32,0.21,0.16,0.37,0.18,0.34
James Milner,eng ENG,"DF,MF",Brighton,eng Premier League,37.0,1986.0,15,11,773,8.6,0,2,2,0,0,0,3,0,0.3,0.3,1.8,2.0,11.0,69.0,73.0,0.0,0.23,0.23,0.0,0.23,0.03,0.21,0.24,0.03,0.24
Jovan Milošević,rs SRB,"FW,MF",Stuttgart,de Bundesliga,18.0,2005.0,5,0,28,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marko Milovanović,rs SRB,"FW,MF",Almería,es La Liga,19.0,2003.0,11,2,308,3.4,1,0,1,1,0,0,0,0,1.5,1.5,0.1,1.6,2.0,3.0,13.0,0.29,0.0,0.29,0.29,0.29,0.45,0.03,0.47,0.45,0.47
Kim Min-jae,kr KOR,DF,Bayern Munich,de Bundesliga,26.0,1996.0,25,22,1970,21.9,1,1,2,1,0,0,3,0,0.8,0.8,0.4,1.2,14.0,131.0,3.0,0.05,0.05,0.09,0.05,0.09,0.04,0.02,0.05,0.04,0.05
Yerry Mina,co COL,"DF,MF",Fiorentina,it Serie A,28.0,1994.0,4,0,44,0.5,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.12,0.12,0.12
Yerry Mina,co COL,DF,Cagliari,it Serie A,28.0,1994.0,14,14,1215,13.5,2,0,2,1,1,1,4,0,1.3,0.5,0.0,0.5,4.0,23.0,3.0,0.15,0.0,0.15,0.07,0.07,0.1,0.0,0.1,0.04,0.04
Takumi Minamino,jp JPN,MF,Monaco,fr Ligue 1,28.0,1995.0,30,25,2117,23.5,9,6,15,9,0,0,4,0,5.9,5.9,4.9,10.8,48.0,97.0,198.0,0.38,0.26,0.64,0.38,0.64,0.25,0.21,0.46,0.25,0.46
Lucas Mincarelli,fr FRA,"DF,MF",Montpellier,fr Ligue 1,19.0,2004.0,13,12,978,10.9,1,1,2,1,0,0,1,1,0.4,0.4,0.6,0.9,24.0,26.0,40.0,0.09,0.09,0.18,0.09,0.18,0.03,0.05,0.09,0.03,0.09
Tyrone Mings,eng ENG,DF,Aston Villa,eng Premier League,30.0,1993.0,1,1,30,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.07,0.09,0.02,0.09
Óscar Mingueza,es ESP,"DF,MF",Celta Vigo,es La Liga,24.0,1999.0,38,33,2998,33.3,2,2,4,2,0,0,4,0,2.6,2.6,3.9,6.5,74.0,170.0,134.0,0.06,0.06,0.12,0.06,0.12,0.08,0.12,0.2,0.08,0.2
Ignasi Miquel,es ESP,DF,Granada,es La Liga,30.0,1992.0,34,33,2992,33.2,1,1,2,1,0,0,5,0,1.4,1.4,1.2,2.5,8.0,83.0,8.0,0.03,0.03,0.06,0.03,0.06,0.04,0.04,0.08,0.04,0.08
Rafa Mir,es ESP,"FW,MF",Sevilla,es La Liga,26.0,1997.0,15,3,391,4.3,2,0,2,2,0,0,1,0,1.4,1.4,0.3,1.7,3.0,2.0,16.0,0.46,0.0,0.46,0.46,0.46,0.33,0.07,0.39,0.33,0.39
Ignacio Miramon,ar ARG,MF,Lille,fr Ligue 1,20.0,2003.0,2,1,39,0.4,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.12,0.12,0.12
Aleksei Miranchuk,ru RUS,"MF,FW",Atalanta,it Serie A,27.0,1995.0,27,12,1176,13.1,3,5,8,3,0,0,1,0,5.4,5.4,4.1,9.5,41.0,75.0,122.0,0.23,0.38,0.61,0.23,0.61,0.41,0.31,0.72,0.41,0.72
Juan Miranda,es ESP,DF,Betis,es La Liga,23.0,2000.0,25,21,1858,20.6,1,1,2,1,0,0,8,0,1.6,1.6,1.9,3.6,35.0,103.0,95.0,0.05,0.05,0.1,0.05,0.1,0.08,0.09,0.17,0.08,0.17
Kevin Miranda,it ITA,DF,Sassuolo,it Serie A,20.0,2003.0,1,0,14,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fabio Miretti,it ITA,MF,Juventus,it Serie A,19.0,2003.0,25,16,1103,12.3,1,1,2,1,0,0,3,0,1.2,1.2,1.1,2.3,22.0,43.0,62.0,0.08,0.08,0.16,0.08,0.16,0.1,0.09,0.19,0.1,0.19
Filippo Missori,it ITA,DF,Sassuolo,it Serie A,19.0,2004.0,8,2,266,3.0,0,0,0,0,0,0,0,0,0.3,0.3,0.0,0.3,5.0,8.0,7.0,0.0,0.0,0.0,0.0,0.0,0.1,0.02,0.11,0.1,0.11
Tyrick Mitchell,eng ENG,"DF,MF",Crystal Palace,eng Premier League,23.0,1999.0,37,37,3204,35.6,2,3,5,2,0,0,6,0,1.6,1.6,2.8,4.4,32.0,94.0,159.0,0.06,0.08,0.14,0.06,0.14,0.04,0.08,0.12,0.04,0.12
Aleksandar Mitrović,rs SRB,FW,Fulham,eng Premier League,28.0,1994.0,1,0,33,0.4,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.0,0.44,0.44,0.44
Stefan Mitrović,rs SRB,"FW,MF",Hellas Verona,it Serie A,20.0,2002.0,10,4,391,4.3,0,0,0,0,0,0,0,0,0.4,0.4,0.1,0.5,13.0,15.0,24.0,0.0,0.0,0.0,0.0,0.0,0.1,0.02,0.13,0.1,0.13
Stefan Mitrović,rs SRB,DF,Getafe,es La Liga,33.0,1990.0,11,9,699,7.8,1,0,1,1,0,0,3,0,0.1,0.1,0.3,0.4,4.0,19.0,2.0,0.13,0.0,0.13,0.13,0.13,0.01,0.04,0.05,0.01,0.05
Maximilian Mittelstädt,de GER,DF,Stuttgart,de Bundesliga,26.0,1997.0,31,23,2103,23.4,2,4,6,2,0,0,5,0,0.9,0.9,4.2,5.1,70.0,123.0,129.0,0.09,0.17,0.26,0.09,0.26,0.04,0.18,0.22,0.04,0.22
Marko Mladenović,rs SRB,MF,Eint Frankfurt,de Bundesliga,18.0,2005.0,1,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jakub Moder,pl POL,"MF,DF",Brighton,eng Premier League,24.0,1999.0,17,6,618,6.9,0,0,0,0,0,0,2,0,0.6,0.6,0.8,1.3,10.0,23.0,26.0,0.0,0.0,0.0,0.0,0.0,0.08,0.11,0.2,0.08,0.2
Luka Modrić,hr CRO,MF,Real Madrid,es La Liga,37.0,1985.0,32,18,1688,18.8,2,6,8,2,0,0,2,0,1.3,1.3,5.5,6.8,53.0,196.0,85.0,0.11,0.32,0.43,0.11,0.43,0.07,0.3,0.37,0.07,0.37
Dion Moise Sahi,ci CIV,"MF,FW",Strasbourg,fr Ligue 1,21.0,2001.0,18,7,628,7.0,3,1,4,3,0,0,0,0,4.1,4.1,1.3,5.4,13.0,21.0,42.0,0.43,0.14,0.57,0.43,0.57,0.58,0.19,0.77,0.58,0.77
Johan Mojica,co COL,DF,Osasuna,es La Liga,30.0,1992.0,30,22,2041,22.7,0,3,3,0,0,0,1,0,1.0,1.0,2.6,3.6,57.0,82.0,117.0,0.0,0.13,0.13,0.0,0.13,0.04,0.11,0.16,0.04,0.16
Alberto Moleiro,es ESP,"FW,MF",Las Palmas,es La Liga,19.0,2003.0,28,21,1803,20.0,3,3,6,3,0,0,1,0,2.0,2.0,2.7,4.6,86.0,87.0,184.0,0.15,0.15,0.3,0.15,0.3,0.1,0.13,0.23,0.1,0.23
Nahuel Molina,ar ARG,DF,Atlético Madrid,es La Liga,25.0,1998.0,30,19,1852,20.6,2,3,5,2,0,0,4,1,1.3,1.3,2.9,4.2,47.0,68.0,170.0,0.1,0.15,0.24,0.1,0.24,0.06,0.14,0.2,0.06,0.2
Florent Mollet,fr FRA,"MF,FW",Nantes,fr Ligue 1,31.0,1991.0,29,24,2083,23.1,4,4,8,4,0,0,4,0,5.9,5.9,2.5,8.4,27.0,96.0,145.0,0.17,0.17,0.35,0.17,0.35,0.25,0.11,0.36,0.25,0.36
Jon Moncayola,es ESP,MF,Osasuna,es La Liga,25.0,1998.0,33,21,1800,20.0,1,3,4,1,0,0,2,1,0.6,0.6,2.3,2.9,14.0,99.0,46.0,0.05,0.15,0.2,0.05,0.2,0.03,0.11,0.14,0.03,0.14
Enzo Mongo,fr FRA,DF,Nantes,fr Ligue 1,18.0,2005.0,1,0,10,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ilario Monterisi,it ITA,DF,Frosinone,it Serie A,21.0,2001.0,24,16,1469,16.3,2,2,4,2,0,0,1,0,1.1,1.1,0.4,1.5,4.0,47.0,18.0,0.12,0.12,0.25,0.12,0.25,0.07,0.02,0.09,0.07,0.09
César Montes,mx MEX,DF,Almería,es La Liga,26.0,1997.0,21,21,1788,19.9,0,0,0,0,0,0,5,0,0.7,0.7,0.2,0.9,7.0,52.0,2.0,0.0,0.0,0.0,0.0,0.0,0.04,0.01,0.04,0.04,0.04
Gonzalo Montiel,ar ARG,DF,Nott'ham Forest,eng Premier League,26.0,1997.0,14,8,801,8.9,0,2,2,0,0,0,5,0,0.1,0.1,1.4,1.5,10.0,28.0,32.0,0.0,0.22,0.22,0.0,0.22,0.01,0.15,0.17,0.01,0.17
Lorenzo Montipò,it ITA,GK,Hellas Verona,it Serie A,27.0,1996.0,37,37,3330,37.0,0,1,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.03,0.0,0.0,0.0,0.0,0.0
Mikey Moore,eng ENG,MF,Tottenham,eng Premier League,15.0,2007.0,2,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Diego Moreira,pt POR,"FW,MF",Lyon,fr Ligue 1,18.0,2004.0,7,4,270,3.0,0,0,0,0,0,0,1,0,0.7,0.7,0.3,1.0,10.0,12.0,23.0,0.0,0.0,0.0,0.0,0.0,0.24,0.11,0.35,0.24,0.35
Álex Moreno,es ESP,DF,Aston Villa,eng Premier League,30.0,1993.0,21,11,1031,11.5,2,0,2,2,0,0,2,0,1.1,1.1,1.1,2.3,32.0,24.0,83.0,0.17,0.0,0.17,0.17,0.17,0.1,0.1,0.2,0.1,0.2
Jorge Moreno,es ESP,DF,Osasuna,es La Liga,22.0,2001.0,1,0,15,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mateu Morey,es ESP,DF,Dortmund,de Bundesliga,23.0,2000.0,3,2,110,1.2,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,3.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.03,0.06,0.09,0.03,0.09
Ilaix Moriba,gn GUI,"MF,FW",Getafe,es La Liga,20.0,2003.0,14,8,605,6.7,0,2,2,0,0,0,5,1,0.3,0.3,0.6,0.9,8.0,21.0,19.0,0.0,0.3,0.3,0.0,0.3,0.05,0.09,0.14,0.05,0.14
Manu Morlanes,es ESP,MF,Mallorca,es La Liga,24.0,1999.0,35,16,1615,17.9,0,2,2,0,0,0,2,0,1.0,1.0,2.0,3.0,29.0,104.0,31.0,0.0,0.11,0.11,0.0,0.11,0.06,0.11,0.17,0.06,0.17
Nikola Moro,hr CRO,MF,Bologna,it Serie A,25.0,1998.0,23,10,840,9.3,1,0,1,1,0,0,0,0,0.7,0.7,0.4,1.1,21.0,58.0,38.0,0.11,0.0,0.11,0.11,0.11,0.08,0.04,0.12,0.08,0.12
Cristhian Mosquera,es ESP,DF,Valencia,es La Liga,19.0,2004.0,36,33,3075,34.2,0,0,0,0,0,0,2,0,0.7,0.7,0.0,0.7,14.0,77.0,4.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02
Yerson Mosquera,co COL,DF,Villarreal,es La Liga,22.0,2001.0,16,14,1229,13.7,2,1,3,2,0,0,4,0,1.6,1.6,0.3,1.9,8.0,36.0,12.0,0.15,0.07,0.22,0.15,0.22,0.11,0.02,0.14,0.11,0.14
Lebo Mothiba,za RSA,FW,Strasbourg,fr Ligue 1,27.0,1996.0,15,5,617,6.9,3,0,3,3,0,0,0,0,4.6,4.6,0.2,4.8,8.0,9.0,27.0,0.44,0.0,0.44,0.44,0.44,0.67,0.02,0.7,0.67,0.7
