Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls_90,Ast_90,G+A_90,G-PK_90,G+A-PK_90,xG_90,xAG_90,xG+xAG_90,npxG_90,npxG+xAG_90
Nicola Bagnolini,it ITA,GK,Bologna,it Serie A,19.0,2004.0,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eric Bailly,ci CIV,DF,Villarreal,es La Liga,29.0,1994.0,10,9,839,9.3,0,0,0,0,0,0,4,0,0.2,0.2,0.0,0.2,3.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02
Stefan Bajcetic,es ESP,MF,Liverpool,eng Premier League,18.0,2004.0,1,0,26,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nedim Bajrami,al ALB,"MF,FW",Sassuolo,it Serie A,24.0,1999.0,28,15,1310,14.6,2,2,4,2,0,0,0,0,2.5,2.5,2.2,4.7,51.0,49.0,70.0,0.14,0.14,0.27,0.14,0.27,0.17,0.15,0.33,0.17,0.33
Cédric Bakambu,cd COD,FW,Betis,es La Liga,32.0,1991.0,4,2,194,2.2,0,0,0,0,0,0,1,0,0.4,0.4,0.3,0.7,5.0,4.0,12.0,0.0,0.0,0.0,0.0,0.0,0.2,0.13,0.33,0.2,0.33
Tiemoué Bakayoko,fr FRA,MF,Lorient,fr Ligue 1,28.0,1994.0,20,15,1314,14.6,2,1,3,2,0,0,5,0,1.7,1.7,0.5,2.2,14.0,54.0,15.0,0.14,0.07,0.21,0.14,0.21,0.12,0.03,0.15,0.12,0.15
Mitchel Bakker,nl NED,DF,Atalanta,it Serie A,23.0,2000.0,14,3,382,4.2,1,0,1,1,0,0,1,0,0.2,0.2,0.1,0.3,12.0,10.0,20.0,0.24,0.0,0.24,0.24,0.24,0.05,0.03,0.08,0.05,0.08
Ridle Baku,de GER,"DF,MF",Wolfsburg,de Bundesliga,25.0,1998.0,33,22,2013,22.4,1,0,1,1,0,0,4,0,1.8,1.8,3.0,4.8,37.0,85.0,130.0,0.04,0.0,0.04,0.04,0.04,0.08,0.13,0.21,0.08,0.21
Dilane Bakwa,fr FRA,"FW,MF",Strasbourg,fr Ligue 1,20.0,2002.0,31,25,2177,24.2,3,6,9,3,0,0,4,1,3.2,3.2,6.2,9.4,94.0,92.0,204.0,0.12,0.25,0.37,0.12,0.37,0.13,0.26,0.39,0.13,0.39
Tommaso Baldanzi,it ITA,"MF,FW",Empoli,it Serie A,20.0,2003.0,14,8,745,8.3,2,0,2,2,0,0,1,0,2.1,2.1,1.0,3.1,20.0,30.0,40.0,0.24,0.0,0.24,0.24,0.24,0.25,0.13,0.38,0.25,0.38
Tommaso Baldanzi,it ITA,"FW,MF",Roma,it Serie A,20.0,2003.0,13,6,518,5.8,0,0,0,0,0,0,2,0,0.9,0.9,0.7,1.5,18.0,14.0,54.0,0.0,0.0,0.0,0.0,0.0,0.15,0.12,0.27,0.15,0.27
Alejandro Balde,es ESP,DF,Barcelona,es La Liga,19.0,2003.0,18,15,1378,15.3,0,1,1,0,0,0,1,0,0.1,0.1,1.2,1.4,73.0,41.0,141.0,0.0,0.07,0.07,0.0,0.07,0.01,0.08,0.09,0.01,0.09
Aliou Baldé,gn GUI,"FW,DF",Nice,fr Ligue 1,20.0,2002.0,7,0,69,0.8,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,5.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.17,0.17,0.17
George Baldock,gr GRE,DF,Sheffield Utd,eng Premier League,30.0,1993.0,13,11,969,10.8,0,1,1,0,0,0,4,0,0.0,0.0,0.8,0.8,9.0,31.0,24.0,0.0,0.09,0.09,0.0,0.09,0.0,0.07,0.08,0.0,0.08
Carlos Baleba,cm CMR,MF,Brighton,eng Premier League,19.0,2004.0,27,15,1325,14.7,0,0,0,0,0,0,7,0,0.8,0.8,0.3,1.1,19.0,50.0,9.0,0.0,0.0,0.0,0.0,0.0,0.06,0.02,0.08,0.06,0.08
Carlos Baleba,cm CMR,MF,Lille,fr Ligue 1,19.0,2004.0,2,1,61,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.05,0.05,0.05
Leonardo Balerdi,ar ARG,DF,Marseille,fr Ligue 1,24.0,1999.0,27,26,2271,25.2,2,0,2,2,0,0,6,1,0.9,0.9,0.2,1.0,19.0,122.0,6.0,0.08,0.0,0.08,0.08,0.08,0.03,0.01,0.04,0.03,0.04
Iván Balliu,al ALB,DF,Rayo Vallecano,es La Liga,31.0,1992.0,33,32,2873,31.9,0,1,1,0,0,0,4,0,0.7,0.7,2.6,3.3,50.0,98.0,100.0,0.0,0.03,0.03,0.0,0.03,0.02,0.08,0.1,0.02,0.1
Fodé Ballo-Touré,sn SEN,"DF,MF",Fulham,eng Premier League,26.0,1997.0,6,0,71,0.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,5.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mohamed Bamba,ci CIV,FW,Lorient,fr Ligue 1,21.0,2001.0,16,14,1138,12.6,8,3,11,7,1,1,3,0,6.4,5.6,2.1,7.7,25.0,16.0,69.0,0.63,0.24,0.87,0.55,0.79,0.51,0.16,0.67,0.44,0.61
Samuel Bamba,de GER,FW,Dortmund,de Bundesliga,19.0,2004.0,2,0,47,0.5,0,0,0,0,0,0,0,0,0.3,0.3,0.1,0.3,5.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.51,0.15,0.67,0.51,0.67
Lameck Banda,zm ZAM,FW,Lecce,it Serie A,22.0,2001.0,21,17,1350,15.0,2,4,6,2,0,0,5,1,3.6,3.6,1.9,5.5,70.0,22.0,136.0,0.13,0.27,0.4,0.13,0.4,0.24,0.13,0.37,0.24,0.37
Daniel Bandeira,pt POR,MF,Hellas Verona,it Serie A,23.0,2000.0,14,3,446,5.0,0,0,0,0,0,0,2,0,0.1,0.1,0.2,0.3,9.0,34.0,8.0,0.0,0.0,0.0,0.0,0.0,0.01,0.04,0.06,0.01,0.06
Mamady Bangré,bf BFA,"FW,MF",Toulouse,fr Ligue 1,22.0,2001.0,8,0,101,1.1,0,1,1,0,0,0,2,0,0.1,0.1,0.7,0.8,10.0,9.0,12.0,0.0,0.89,0.89,0.0,0.89,0.12,0.59,0.71,0.12,0.71
Mattia Bani,it ITA,DF,Genoa,it Serie A,29.0,1993.0,27,27,2306,25.6,2,0,2,2,0,0,9,0,1.2,1.2,0.1,1.3,5.0,37.0,4.0,0.08,0.0,0.08,0.08,0.08,0.05,0.0,0.05,0.05,0.05
Léo Baptistão,br BRA,FW,Almería,es La Liga,30.0,1992.0,32,22,1837,20.4,6,0,6,6,0,0,6,1,5.3,5.3,1.8,7.1,26.0,45.0,88.0,0.29,0.0,0.29,0.29,0.29,0.25,0.09,0.34,0.25,0.34
Shandon Baptiste,gd GRN,MF,Brentford,eng Premier League,25.0,1998.0,10,2,229,2.5,1,1,2,1,0,0,1,0,0.9,0.9,0.2,1.1,3.0,5.0,1.0,0.39,0.39,0.79,0.39,0.79,0.35,0.08,0.43,0.35,0.43
Antonín Barák,cz CZE,"MF,FW",Fiorentina,it Serie A,28.0,1994.0,21,8,808,9.0,2,3,5,2,0,0,2,0,1.5,1.5,2.2,3.8,17.0,33.0,64.0,0.22,0.33,0.56,0.22,0.56,0.17,0.25,0.42,0.17,0.42
Valentín Barco,ar ARG,"DF,FW",Brighton,eng Premier League,19.0,2004.0,6,3,307,3.4,0,0,0,0,0,0,1,0,0.2,0.2,0.2,0.4,8.0,14.0,20.0,0.0,0.0,0.0,0.0,0.0,0.05,0.07,0.13,0.05,0.13
Bradley Barcola,fr FRA,FW,Lyon,fr Ligue 1,20.0,2002.0,3,3,270,3.0,0,0,0,0,0,0,1,0,0.1,0.1,0.3,0.4,11.0,9.0,31.0,0.0,0.0,0.0,0.0,0.0,0.02,0.1,0.12,0.02,0.12
Bradley Barcola,fr FRA,"FW,MF",Paris S-G,fr Ligue 1,20.0,2002.0,25,18,1370,15.2,4,7,11,4,0,0,3,1,4.5,4.5,5.2,9.8,93.0,56.0,216.0,0.26,0.46,0.72,0.26,0.72,0.3,0.34,0.64,0.3,0.64
Melvin Bard,fr FRA,DF,Nice,fr Ligue 1,22.0,2000.0,32,31,2654,29.5,1,2,3,1,0,0,7,1,0.5,0.5,2.8,3.4,60.0,111.0,99.0,0.03,0.07,0.1,0.03,0.1,0.02,0.1,0.11,0.02,0.11
